sentence,label,sentiment,text_length,word_count,sensitivity_level,sensitivity_label
"About 72 % of Evraz Group shares are owned by Lanebrook , whose beneficiaries , on the one hand , are Millhouse , the holding company for the assets of billionaire Roman Abramovich and his business partners 50 % ; and Evraz executives Alexander Abramov and Alexander Frolov 50 % , on the other",1,Neutral,293,54,2,Confidential
The terms of the transactions remained undisclosed,1,Neutral,50,7,1,Internal
The deal was worth about EUR 1.2 mn,1,Neutral,35,8,1,Internal
Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report,1,Neutral,299,49,2,Confidential
Ixonos will finance the acquisition through a 3.8 mln euro $ 5.2 mln loan,1,Neutral,73,14,3,Restricted
"Quarterly diluted EPS on continuing operations came in at 0.21 eur , compared with last year 's 0.12 eur",2,Positive,104,19,0,Public
"In Q1 of 2010 , Bank of +àland 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn",2,Positive,93,21,0,Public
Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007,0,Negative,196,41,2,Confidential
Related links : Flexiblebaseloadoperation TheWartsila32generating set Gasconversions This is the shorter of two versions of this press release,1,Neutral,142,18,0,Public
"a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share",2,Positive,126,25,2,Confidential
"In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a drop of 12.6 % from the same period of 2008",0,Negative,127,26,2,Confidential
"( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian",2,Positive,236,45,0,Public
"Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted",2,Positive,192,34,0,Public
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005",2,Positive,169,30,1,Internal
"With this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to Renesas Electronics Corporation",1,Neutral,135,18,3,Restricted
"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing",2,Positive,127,22,2,Confidential
"Look out for vintage fabric cushion covers , '70s coffee pots , ceramic serving dishes , cocktail glasses , and stainless steel party dishes",1,Neutral,140,24,1,Internal
"Nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier",2,Positive,87,15,1,Internal
"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said",0,Negative,168,35,2,Confidential
"The acquisition was financed with $ 2.56 billion of debt arranged by Goldman , Sachs & Co.",1,Neutral,90,17,3,Restricted
"With this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to Renesas Electronics Corporation",1,Neutral,135,18,3,Restricted
Upon completion of the sale Proha would get some USD12 .7 m for its stake in Artemis,1,Neutral,84,17,1,Internal
The name of the newspaper publishing and printing division Sanoma will be changed to Sanoma News,1,Neutral,96,16,0,Public
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million",2,Positive,130,21,3,Restricted
