text,true_label,true_label_name,gpt_pred,gpt_conf,gpt_reasoning,gpt_pred_name,correct
"Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking",0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
"Featuring the S60 user interface , this 135-gram model also comes with a 2.4-inch quarter VGA display and 100 megabytes of internal memory , expandable through the Micro Secure Digital slot",2,Confidential,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,False
"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008",2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
The shares shall be acquired according to the Rules of NASDAQ OMX Helsinki and otherwise according to the rules related to acquisition of the company 's own shares,3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
The company did not disclose the price of the acquisition,3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
The Group 's order portfolio decreased from EUR 42.9 mn in 9-2007 to EUR 33.3 mn in 2-2008,1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
It will provide heating in the form of hot water for the sawmill 's needs,0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
"The machine will have an annual production capacity of 200,000 tonnes of super-calendered magazine paper and other paper grades based on recovered fiber , Stora Enso said",0,Public,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,False
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005",1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
Scanfil has also issued a profit warning,2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
"Samsung currently occupies third place and lost ground during the quarter , dropping by 1.8 % to an 11.1 % share overall",2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia",0,Public,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,False
"Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH",3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
"Thus the group 's balance sheet will have about EUR25 .8 m in goodwill for 2010 , the company added",1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
"He joins Technopolis from KONE where he has held various positions within the Group , most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations",1,Internal,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,False
"It also includes the installation of new equipment , training and start-up services , as well as service work of the shoe press delivered by Vaahto in 2001",0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009",2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date :",0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
Okmetic revised its 2010 financial outlook based on its order book,1,Internal,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,False
"Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn",0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
It is hand-painted resin with real 14-0 trebles and is 75cm long by 25cm deep from top to bottom of the middle hook,0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
"Finnish Sampo Bank , of Danish Danske Bank group , reports profit before taxes of EUR 152.3 mn in 2010 , up from EUR 32.7 mn in 2009",1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
The company is studying the feasibility of focusing most of its processed meat production in the Vantaa facilities and the processing of fresh meat in the Forssa facilities,1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
"CS Cabot exports 55 % of its production mainly to Goodyear , Bridgestone and Michelin plants in Poland , as well as to Germany 's Michelin or Italy 's Pirelli through the company 's logistics center in Paris , Stefan said",1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008,2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
Operating profit improved by 44.0 % to ER 4.7 mn from EUR 3.3 mn in 2004,1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
"When dialing in , the participants should quote 877417 as conference ID",1,Internal,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,False
"`` If you need malware removal tools , type the URL of your vendor of choice directly into the browser bar and use links on their website , '' wrote Trend Micro 's Rik Ferguson on Monday",0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
The front surfaces of these valve plates are directed towards each other,0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
`` Marimekko operates in an industry in which changes in the business climate are reflected in consumer demand,1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76,2,Confidential,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,False
More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries,0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
